City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Baghdad,IQ,2021-11-16 04:37:28,33.3406,44.4009,60.71,48,90,4.61
122,Tahta,EG,2021-11-16 04:37:28,26.7693,31.5021,65.68,52,20,6.08
123,At-Bashi,KG,2021-11-16 04:37:29,41.1702,75.8106,29.39,48,83,3.15
124,Corum,TR,2021-11-16 04:37:29,40.5,34.75,35.31,92,84,4.07
125,Hobyo,SO,2021-11-16 04:37:29,5.3505,48.5268,80.64,65,77,9.66
126,Portland,US,2021-11-16 04:35:43,45.5234,-122.6762,46.45,90,40,8.99
127,Lindome,SE,2021-11-16 04:37:30,57.5667,12.0833,44.17,90,75,5.99
128,Prudnik,PL,2021-11-16 04:37:30,50.3212,17.5746,43.59,84,11,5.79
129,Sharjah,AE,2021-11-16 04:32:50,25.3573,55.4033,80.58,49,0,4.61
130,Kaoma,ZM,2021-11-16 04:37:31,-14.7833,24.8,69.17,67,71,4.7
131,Kalachinsk,RU,2021-11-16 04:38:32,55.0529,74.5751,10.09,87,74,5.7
132,Chuy,UY,2021-11-16 04:38:33,-33.6971,-53.4616,64.67,95,7,9.22
133,Dalvik,IS,2021-11-16 04:38:33,65.9702,-18.5286,35.53,78,48,13.38
134,Awjilah,LY,2021-11-16 04:38:34,29.1081,21.2869,65.77,83,100,11.65
135,Poum,NC,2021-11-16 04:38:34,-20.2333,164.0167,80.1,77,61,11.07
136,Havre-Saint-Pierre,CA,2021-11-16 04:38:35,50.2334,-63.5986,37.4,100,90,12.66
137,Umea,SE,2021-11-16 04:38:35,63.8284,20.2597,31.93,100,0,5.75
138,Rio Cuarto,AR,2021-11-16 04:35:50,-33.1307,-64.3499,54.68,46,71,16.84
139,Thompson,CA,2021-11-16 04:38:36,55.7435,-97.8558,26.76,93,90,4.61
140,Surt,LY,2021-11-16 04:38:36,31.2089,16.5887,64.87,40,39,7.14
141,Uberaba,BR,2021-11-16 04:38:37,-19.7483,-47.9319,70.74,69,100,9.71
142,Faya,SA,2021-11-16 04:38:37,18.3851,42.4509,53.71,57,0,3.58
143,Tura,IN,2021-11-16 04:38:38,25.5198,90.2201,76.32,53,17,0.85
144,Lindi,TZ,2021-11-16 04:38:38,-10.0,39.7167,74.64,62,32,5.23
145,Ushumun,RU,2021-11-16 04:38:39,52.7833,126.5333,27.1,47,67,5.59
146,Ibate,BR,2021-11-16 04:37:25,-21.9547,-47.9967,63.37,68,73,4.32
147,Miranda,CO,2021-11-16 04:38:40,3.2499,-76.2281,68.13,96,93,2.06
148,East London,ZA,2021-11-16 04:38:40,-33.0153,27.9116,67.15,69,94,18.07
149,Moussoro,TD,2021-11-16 04:38:41,13.6408,16.4901,76.5,15,100,10.65
150,Ladario,BR,2021-11-16 04:38:42,-19.0047,-57.6017,73.98,87,100,2.24
151,Amli,IN,2021-11-16 04:38:42,20.2833,73.0167,88.23,42,100,9.1
152,Kodiak,US,2021-11-16 04:38:43,57.79,-152.4072,18.91,73,1,6.91
153,Puerto Del Rosario,ES,2021-11-16 04:38:43,28.5004,-13.8627,64.15,77,90,5.75
154,Baykit,RU,2021-11-16 04:38:44,61.67,96.37,15.64,93,100,3.42
155,Kurilsk,RU,2021-11-16 04:38:45,45.2333,147.8833,39.24,71,98,20.98
156,Lebu,CL,2021-11-16 04:36:26,-37.6167,-73.65,49.51,79,0,19.53
157,Yar-Sale,RU,2021-11-16 04:38:46,66.8333,70.8333,0.75,96,86,2.73
158,Burnie,AU,2021-11-16 04:38:46,-41.0667,145.9167,62.92,55,93,12.62
159,Kommunar,RU,2021-11-16 04:38:47,59.6206,30.39,34.52,85,41,12.12
160,Belaya Gora,RU,2021-11-16 04:38:47,68.5333,146.4167,3.45,97,100,1.41
161,Puerto Ayora,EC,2021-11-16 04:38:48,-0.7393,-90.3518,67.37,86,36,8.3
162,Olinda,BR,2021-11-16 04:36:22,-8.0089,-34.8553,82.13,69,40,10.36
163,Zharkent,KZ,2021-11-16 04:38:49,44.1628,80.0,43.47,30,100,2.68
164,Fernie,CA,2021-11-16 04:38:49,49.5,-115.0687,46.62,89,100,19.6
165,Sitka,US,2021-11-16 04:38:50,57.0531,-135.33,31.89,86,20,5.75
166,Radstadt,AT,2021-11-16 04:38:50,47.3833,13.45,44.17,94,100,6.02
167,Domoni,KM,2021-11-16 04:38:51,-12.2569,44.5319,81.27,72,8,2.17
168,Ancud,CL,2021-11-16 04:38:51,-41.8697,-73.8203,42.33,81,3,5.14
169,Llanes,ES,2021-11-16 04:38:51,43.4198,-4.7549,54.9,78,78,2.46
170,Port Hedland,AU,2021-11-16 04:38:52,-20.3167,118.5667,93.25,36,37,14.97
171,Hamilton,US,2021-11-16 04:38:22,39.1834,-84.5333,39.11,87,90,1.01
172,Requena,ES,2021-11-16 04:38:53,39.4883,-1.1004,42.71,84,0,4.72
173,Port Hardy,CA,2021-11-16 04:38:53,50.6996,-127.4199,41.0,93,90,8.05
174,Kozhva,RU,2021-11-16 04:38:54,65.1073,57.0459,21.16,95,100,7.27
175,Nikolskoye,RU,2021-11-16 04:38:54,59.7035,30.7861,34.88,83,45,10.96
176,Nordby,DK,2021-11-16 04:38:55,55.446,8.3979,43.54,87,90,1.01
177,Powassan,CA,2021-11-16 04:39:56,46.0334,-79.3496,32.99,81,99,6.42
178,Totness,SR,2021-11-16 04:39:56,5.8833,-56.3167,76.24,90,33,7.74
179,Kargil,IN,2021-11-16 04:39:57,34.5667,76.1,19.78,44,0,2.53
180,Santa Isabel Do Rio Negro,BR,2021-11-16 04:39:57,-0.4139,-65.0192,74.82,93,92,1.74
181,Ust-Ishim,RU,2021-11-16 04:39:57,57.6935,71.1665,15.03,92,99,7.56
182,Belmonte,BR,2021-11-16 04:39:59,-15.8631,-38.8828,75.7,97,100,6.08
183,Zaozerne,UA,2021-11-16 04:39:59,45.1582,33.2787,40.39,68,1,24.47
184,Northam,GB,2021-11-16 04:40:00,51.0333,-4.2167,53.1,97,100,6.08
185,Saint George,US,2021-11-16 04:40:01,37.1041,-113.5841,65.35,39,1,0.0
